SN,tp_no
1,TP/KN/256F
2,TP/KN/UC/DTF/5A
3,TP/KN/358D
4,TP/KNUPDA/334E
5,TPMLPP/UC/DTF/17
6,TP/KAS/215M
7,TP/KN/UC/DTF/17
8,TP/KNUP/338F
9,TP/MLPP/KBT/3070
10,TP/KNUP/215M
11,TP/MLPP/KBT/507D
12,TP/MLPP/KBT/307D
13,TP/KNUPDA/UC/DFT/17
14,TP/KNUPDA/215J
15,TP/KN/358C
16,TP/MLPP/KBT/3010
17,TP/MLPP/UGG 215N
18,TP/MLPPKBT/2569
19,TP/KN/UC/DTF/16B
20,TP/UDB/172
21,TP/KAS/236A
22,TP/KN/358A
23,TP/KN/UC/TF/5A
24,TP/KN/381
25,TP/KN/358B
26,TP/KN/256F
27,TP/KNUPDA/256F
28,TP/MLPP/KBT/256G
29,TP/KN/UC/DTF/16 B
30,TP/MLPP/UGG/218N
31,TP/KNUPDA/215K
32,TP/KN/UC/DKD/14
33,TP/MCPP/DKD/001
34,TP/KN/358E
35,TP/KN/UC/92/02
36,TP/MLPP/DKD/001
37,TP/KNUPDA/C/DTF/17
38,TP/K/328C
39,TP/KN/382B
40,TP/KNUPDA/UC/DTF/17
41,TP/KNUP/333A
42,TP/KNUP/381
43,KAN/144
44,TP/KN/277
46,TP/381
47,TP/KN/2151
48,TP/K/334B
49,TP/MLPP/KBT/2569
50,TP/KN/334E
51,TP/KN/UC/DKD/14
52,TP/KN/UC/GZ/02
53,TP/KNUP/UC/DTF/16
54,TP/MCPP/KBT/3070
55,TP/MLPP/KBT/307
56,TP/MLPP/KBT//2569
57,TP/MPPL/UGG/215N
58,TP/KN/215M
59,TP/KNUP/334B
61,TP/MLPP/U
62,TP/MLPP/UGG/215N
63,TP/MLPP/UGG//215N
64,TP/MLPP/DKD/001
65,TP/MLPPDKD/001
66,TP/MLPP/DKD001
67,TP/MLPP/KBT/2560
68,TP/MLPP/DKD/001
69,TPKN/256F
70,TP/KNUP/334E
71,TP/KNUPD/UC/TIF/17
72,TP/MLPP/KBT3070
73,TP/KNUP/328B
74,TP/KNUP/UC/17
76,TP/MLPP/UGG/215N
77,TP/MLPP/KBT/307D
78,TP/MLPP/KBT307D
79,TP/MLPP/KBT/256B
80,TP/MB/9B
81,TP/MLPP//KBT/307D
82,TP/KN/01/DTF/17
83,TP/KNUPDA/215M
84,TP/KN/UC/DTF/17
85,TP/MLPP/UGG/215N
86,TP/MLPP/DKD/KBT/256G
87,TP/KAS/215B
88,TP/MLPP/KBT/256G
89,TP/KN/UD/17
90,TP/KN/382
91,TP/KN/UC/DTP/17
92,TP/MPLL/KBT/256G
93,TP/KNUP/256F
94,TP/K/377
95,TP/MCPP/UGG/215N
96,TP/UDB/192A
97,TP/KN/338B
98,TP/KNUPDA/277
99,TP/KNUPDA/381
100,TP/MLPP/KBT256G
101,TP/KN/256G
102,TP/MLPP/TF/5B
103,TP/MLPP/5B
104,TP/KNUPDA/334E
105,TP/KNUPDA/UC/DTF/17
106,TP/KN/215G
107,TP/KN/334E
108,TP/KNUP/UC/DTF/17
109,TP/KAS/246
110,TP/KNUP/381Z
111,TP/KNUP/UC/DTF/16B
112,TP/MLPP/KBT/215N
113,TP/KN/UC/DTF/16
114,TP/MLPP/KBT/2569
115,TP/KN/256A
116,TP/MLPP/KBT2569
117,TP/KNUP/307
118,TP/KNUPDA/UC/DTF/16B
119,TP/MLPP/UGG
120,Other
