mlsFNo,created_at,len_val,format_type
RES-1981-568,37:55.3,23,ISO
RES-1981-567,34:22.6,23,ISO
RES-1981-566,31:58.2,23,ISO
RES-1981-564,30:29.5,23,ISO
RES-1981-561,29:30.6,23,ISO
COM-2019-325,26:59.8,23,ISO
RES-1981-558,18:14.5,23,ISO
RES-2000-3152,17:44.0,23,ISO
RES-1981-557,17:15.6,23,ISO
RES-1981-556,16:12.8,23,ISO
RES-1981-551,05:41.9,23,ISO
RES-1981-548,04:52.6,23,ISO
RES-1981-523,57:27.8,23,ISO
TEMP-14673,55:06.1,23,ISO
RES-1981-525,55:04.0,23,ISO
RES-1981-526,49:07.1,23,ISO
TEMP-14672,48:46.2,23,ISO
RES-1981-529,43:11.3,23,ISO
RES-1981-531,36:52.5,23,ISO
IND-2004-3,29:01.9,23,ISO
RES-1981-546,24:42.3,23,ISO
RES-1981-533,18:25.6,23,ISO
RES-1981-534,16:23.4,23,ISO
TEMP-14671,12:15.1,23,ISO
RES-1981-535,11:41.4,23,ISO
RES-1981-536,02:04.6,23,ISO
RES-1981-537,58:05.1,23,ISO
RES-1981-539,52:27.8,23,ISO
RES-1981-540,48:47.9,23,ISO
RES-1981-541,44:48.2,23,ISO
RES-1981-542,43:04.5,23,ISO
RES-2021-1604,Apr  5 2026  4:24PM,19,OTHER
RES-2022-6454,Apr  5 2026  3:52PM,19,OTHER
RES-2015-100,Apr  5 2026  4:10PM,19,OTHER
RES-2022-2841,Apr  3 2026  3:15PM,19,OTHER
RES-2022-1850,Apr  3 2026  3:10PM,19,OTHER
COM-2021-186,Apr  3 2026  3:07PM,19,OTHER
RES-2022-1851,Apr  3 2026 12:53PM,19,OTHER
RES-2022-1197,Apr  3 2026 12:50PM,19,OTHER
RES-2021-4425,Apr  3 2026 12:13PM,19,OTHER
COM-2022-611,Apr  2 2026  4:30PM,19,OTHER
COM-2022-610,Apr  2 2026  4:23PM,19,OTHER
COM-2022-324,Apr  2 2026  3:36PM,19,OTHER
