prop_id	distinct_file_numbers	total_rows	file_numbers_sharing_id
13313	15	17	COM-RC-1982-321 | COM-2008-24 | COM-2008-25 | COM-2008-23 | COM-2008-19 | COM-2008-18 | COM-RC-1982-321 | COM-RC-1982-321 | COM-2008-43 | COM-2008-40 | COM-2008-41 | COM-2008-33 | COM-2008-39 | COM-2008-37 | COM-2008-35 | COM-2008-38 | COM-2008-34
79376	8	8	COM-2022-346 | COM-2022-348 | COM-2022-351 | COM-2022-371 | COM-2022-374 | COM-2022-361 | COM-2022-353 | COM-2022-352
10252	3	5	COM-2015-185 | COM-2015-185 | COM-2022-450 | COM-2022-451 | COM-2015-185
28021	3	4	RES-1994-2579 | RES-1994-2579 | RES-2024-5900 | RES-2024-5901
57869	3	3	COM-2026-131 | TEMP-16542 | TEMP-16680
59375	3	3	COM-2022-149 | COM-2022-73 | COM-2022-150
61797	3	3	COM-2018-86 | COM-2018-84 | COM-2018-85
69581410	3	3	TEMP-32939 | RES-2026-2047 | RES-2026-2048
84350	3	3	RES-2025-4324 | RES-2023-5073 | RES-2025-4325
8742	3	3	CON-COM-2018-123 | MLKN 1985 | CON-RES-2020-614
9665	3	7	COM-1985-29 | COM-1985-29 | COM-2022-437 | COM-2022-441 | COM-1985-29 | COM-1985-29 | COM-1985-29
10135	2	3	COM-2018-258 | COM-2018-258 | MLKN 3501
10151	2	3	COM-2020-66 | COM-2020-66 | MLKN 3512
10246	2	3	CON-COM-2008-181 | CON-COM-2008-181 | MLKN 3507
10324	2	2	COM-2016-281 | MLKN 2447
10325	2	3	COM-2022-132 | COM-2022-132 | COM-2005-115
10425	2	3	CON-COM-2015-170 | CON-COM-2015-170 | MLKN 2573
10720	2	2	CON-COM-2016-61 | MLKN 1478
10723	2	2	COM-2019-68 | MLKN 3301
10834	2	3	COM-2015-389 | COM-2015-389 | MLKN 3516
10838	2	4	CON-COM-1995-12 | CON-COM-1995-12 | CON-COM-1995-12 | MLKN 816
10980	2	2	RES-1998-953 | KNML 2805
11048	2	3	CON-COM-2020-406 | MLKN 4292 | CON-COM-2020-406
11049	2	3	CON-COM-2020-407 | MLKN 4293 | CON-COM-2020-407
11539	2	3	CON-COM-2016-311 | MLKN 1976 | MLKN 1976
11543	2	3	CON-COM-2016-14 | CON-COM-2016-14 | MLKN 1464
11545	2	4	CON-COM-2009-178 | MLKN 3545 | CON-COM-2009-178 | CON-COM-2009-178
11579	2	4	COM-1997-169 | MLKN 458 | COM-1997-169 | COM-1997-169
11741	2	5	RES-1986-1800 | RES-1986-1800 | RES-1986-1800 | RES-1986-1800 | KNML 369
12242	2	2	RES-1986-2130 | KNML 386
12497	2	2	COM-2016-184 | MLKN 2559
13140	2	2	COM-2008-209 | COM-RC-1982-37
